,faq_question,faq_answer,claim,faq_category,date_collected
0,What is a novel coronavirus?,"A novel coronavirus is a new coronavirus that has not been previously identified. The virus causing coronavirus disease 2019 (COVID-19), is not the same as the coronaviruses that commonly circulate among humans and cause mild illness, like the common cold.
A diagnosis with coronavirus 229E, NL63, OC43, or HKU1 is not the same as a COVID-19 diagnosis. Patients with COVID-19 will be evaluated and cared for differently than patients with common coronavirus diagnosis.",A novel coronavirus is a new coronavirus that has not been previously identified,Coronavirus Disease 2019 Basics,06/09/20
1,"Why is the disease being called coronavirus disease 2019, COVID-19?","On February 11, 2020 the World Health Organization announced an official name for the disease that is causing the 2019 novel coronavirus outbreak, first identified in Wuhan China. The new name of this disease is coronavirus disease 2019, abbreviated as COVID-19. In COVID-19, ‘CO’ stands for ‘corona,’ ‘VI’ for ‘virus,’ and ‘D’ for disease. Formerly, this disease was referred to as “2019 novel coronavirus” or “2019-nCoV”.
There are many types of human coronaviruses including some that commonly cause mild upper-respiratory tract illnesses. COVID-19 is a new disease, caused by a novel (or new) coronavirus that has not previously been seen in humans. The name of this disease was selected following the World Health Organization (WHO) best practiceexternal iconexternal icon for naming of new human infectious diseases.","On February 11, 2020 the World Health Organization announced an official name for the disease that is causing the 2019 novel coronavirus outbreak, first identified in Wuhan China",Coronavirus Disease 2019 Basics,06/09/20
2,Why might someone blame or avoid individuals and groups (create stigma) because of COVID-19?,"People in the U.S. may be worried or anxious about friends and relatives who are living in or visiting areas where COVID-19 is spreading. Some people are worried about getting the disease from these people. Fear and anxiety can lead to social stigma, for example, toward people who live in certain parts of the world, people who have traveled internationally, people who were in quarantine, or healthcare professionals.
Stigma is discrimination against an identifiable group of people, a place, or a nation. Stigma is associated with a lack of knowledge about how COVID-19 spreads, a need to blame someone, fears about disease and death, and gossip that spreads rumors and myths.
Stigma hurts everyone by creating more fear or anger toward ordinary people instead of focusing on the disease that is causing the problem.",People in the U,Coronavirus Disease 2019 Basics,06/09/20
3,How can people help stop stigma related to COVID-19?,People can fight stigma by providing social support in situations where you notice this is occurring. Stigma affects the emotional or mental health of stigmatized groups and the communities they live in. Stopping stigma is important to making communities and community members resilient. See resources on mental health and coping during COVID-19. Everyone can help stop stigma related to COVID-19 by knowing the facts and sharing them with others in your community.,People can fight stigma by providing social support in situations where you notice this is occurring,Coronavirus Disease 2019 Basics,06/09/20
4,Why do some state’s COVID-19 case numbers sometimes differ from what is posted on CDC’s website?,CDC’s overall case numbers are validated through a confirmation process with jurisdictions. The process used for finding and confirming cases displayed by different places may differ.,CDC’s overall case numbers are validated through a confirmation process with jurisdictions,Coronavirus Disease 2019 Basics,06/09/20
5,How do CDC’s COVID-19 case numbers compare with those provided by the World Health Organization (WHO) or Johns Hopkins?,"CDC’s COVID-19 case numbers include many publicly reported numbers, including information from state, local, territorial, international and external partners.","CDC’s COVID-19 case numbers include many publicly reported numbers, including information from state, local, territorial, international and external partners",Coronavirus Disease 2019 Basics,06/09/20
6,Why do the number of cases for previous days increase?,"Delays in reporting can cause the number of COVID-19 cases reported on previous days to increase. (Sometimes this effect is described as “backfill.”) State, local, and territorial health departments report the number of cases that have been confirmed and share these data with CDC. Since it takes time to conduct laboratory testing, cases from a previous day may be added to the daily counts a few days late.",Delays in reporting can cause the number of COVID-19 cases reported on previous days to increase,Coronavirus Disease 2019 Basics,06/09/20
7,COVID-19 and Hypertension,"Are people with high blood pressure (hypertension) at higher risk from COVID-19?
At this time, we do not think that people with high blood pressure and no other underlying health conditions are more likely than others to get severely ill from COVID-19. Although many people who have gotten severely ill from COVID-19 have high blood pressure, they are often older or have other medical conditions like obesity, diabetes, and serious heart conditions that place them at higher risk of severe illness from COVID-19.
If you have high blood pressure, it’s critically important that you keep your blood pressure under control to lower your risk for heart disease and strokes. Take your blood pressure medications as directed, keep a log of your blood pressure every day if you are able to take your blood pressure at home, and work with your healthcare team to make sure your blood pressure is well controlled. Any changes to your medications should be made in consultation with your healthcare team.
Should I continue to take my blood pressure medication?
Yes. Continue to take your blood pressure medications exactly as prescribed and make lifestyle modifications agreed upon in your treatment plan. Continue all your regular medications, including angiotensin-converting enzyme inhibitors (ACE-Is) or angiotensin receptor blockers (ARBs), as prescribed by your healthcare team. This is recommended by current clinical guidelines from the American Heart Association, the Heart Failure Society of America, and the American College of Cardiology","Are people with high blood pressure (hypertension) at higher risk from COVID-19?
At this time, we do not think that people with high blood pressure and no other underlying health conditions are more likely than others to get severely ill from COVID-19",Coronavirus Disease 2019 Basics,06/09/20
8,What is the source of the virus?,"COVID-19 is caused by a coronavirus called SARS-CoV-2. Coronaviruses are a large family of viruses that are common in people and many different species of animals, including camels, cattle, cats, and bats.  Rarely, animal coronaviruses can infect people and then spread between people. This occurred with MERS-CoV and SARS-CoV, and now with the virus that causes COVID-19. The SARS-CoV-2 virus is a betacoronavirus, like MERS-CoV and SARS-CoV. All three of these viruses have their origins in bats. The sequences from U.S. patients are similar to the one that China initially posted, suggesting a likely single, recent emergence of this virus from an animal reservoir. However, the exact source of this virus is unknown.
More information about the source and spread of COVID-19 is available on the Situation Summary: Source and Spread of the Virus.",COVID-19 is caused by a coronavirus called SARS-CoV-2,How COVID-19 Spreads,06/09/20
9,How does the virus spread?,"The virus that causes COVID-19 is thought to spread mainly from person to person, mainly through respiratory droplets produced when an infected person coughs or sneezes. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. Spread is more likely when people are in close contact with one another (within about 6 feet).
COVID-19 seems to be spreading easily and sustainably in the community (“community spread”) in many affected geographic areas. Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected.
Learn what is known about the spread of newly emerged coronaviruses.","The virus that causes COVID-19 is thought to spread mainly from person to person, mainly through respiratory droplets produced when an infected person coughs or sneezes",How COVID-19 Spreads,06/09/20
