source	source_label	label	claim	explanation	date	fact_check_url
Johns Hopkins Medicine	FALSE	FALSE	You can get a face mask exemption card so you don t need to wear a mask.	Fake cards and flyers, claiming that the bearer is exempt from mask-wearing regulations, have shown up in some areas. The cards, which some people have purchased online, may have official-looking logos or government insignias on them. They claim that the person carrying them has a physical or mental condition covered by the Americans with Disabilities Act (ADA) that makes them unable to wear a face mask or covering. The United States Department of Justice has issued a statement about these fake mask exemptions, explaining that these cards and flyers are fraudulent.  People have tried to use the fake cards to avoid having to wear a mask in public places that require them, such as some stores and restaurants. The cards are not issued by the U.S. government and are not backed by the ADA	2020-07-18	https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/2019-novel-coronavirus-myth-versus-fact
Johns Hopkins Medicine		FALSE	You can protect yourself from COVID-19 by injecting, swallowing, bathing in or rubbing onto your body bleach, disinfectants or rubbing alcohols.	These products are highly toxic and should never be swallowed or injected into the body. Call 911 if this occurs.Disinfectants, bleach and soap and water may be used to clean surfaces, an important prevention step in stopping the spread of coronavirus and COVID-19 � the disease caused by the coronavirus that�s led to the global pandemic. Never attempt to self-treat or prevent COVID-19 by rubbing or bathing with bleach, disinfectants or rubbing alcohol anywhere on your body. Effective hand sanitizers do have alcohol, but they are formulated to be safe for use on hands. Learn more about protecting yourself from the coronavirus and COVID-19.	2020-07-18	https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/2019-novel-coronavirus-myth-versus-fact
Johns Hopkins Medicine		FALSE	A vaccine to cure COVID-19 is available	There is no vaccine for the new coronavirus right now. Scientists have already begun working on one, but developing a vaccine that is safe and effective in human beings will take many months	2020-07-18	https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/2019-novel-coronavirus-myth-versus-fact
Johns Hopkins Medicine		FALSE	The new coronavirus was deliberately created or released by people	Viruses can change over time. Occasionally, a disease outbreak happens when a virus that is common in an animal such as a pig, bat or bird undergoes changes and passes to humans. This is likely how the new coronavirus came to be.	2020-07-18	https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/2019-novel-coronavirus-myth-versus-fact
Johns Hopkins Medicine		FALSE	Ordering or buying products shipped from overseas will make a person sick.	Researchers are studying the new coronavirus to learn more about how it infects people. As of this writing, the World Health Organization (WHO) says that the likelihood of becoming infected with COVID-19 from a commercial package is low since it has likely traveled over several days and been exposed to different temperatures and conditions during transit.	2020-07-18	https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/2019-novel-coronavirus-myth-versus-fact
Government of Canada	TRUE	TRUE	Symptoms of human coronavirus can take up to 14 days to appear after exposure to the virus		2020-07-18	https://www.canada.ca/en/public-health/services/publications/diseases-conditions/know-facts-about-coronavirus-disease-covid-19.html
Government of Canada	TRUE	TRUE	Symptoms of human coronavirus can be very mild or more serious		2020-07-18	https://www.canada.ca/en/public-health/services/publications/diseases-conditions/know-facts-about-coronavirus-disease-covid-19.html
Government of Canada	TRUE	TRUE	Symptoms of human coronavirus can vary from person to person		2020-07-18	https://www.canada.ca/en/public-health/services/publications/diseases-conditions/know-facts-about-coronavirus-disease-covid-19.html
Government of Canada	TRUE	TRUE	Coronaviruses are most commonly spread from an infected person through respiratory droplets when you cough or sneeze		2020-07-18	https://www.canada.ca/en/public-health/services/publications/diseases-conditions/know-facts-about-coronavirus-disease-covid-19.html
Government of Canada	TRUE	TRUE	Coronaviruses are most commonly spread from an infected person through close personal contact,  such as touching or shaking hands		2020-07-18	https://www.canada.ca/en/public-health/services/publications/diseases-conditions/know-facts-about-coronavirus-disease-covid-19.html
Government of Canada	TRUE	TRUE	Coronaviruses are most commonly spread from an infected person through touching something with the virus on it , then touching your eyes,  nose or mouth before washing your hands		2020-07-18	https://www.canada.ca/en/public-health/services/publications/diseases-conditions/know-facts-about-coronavirus-disease-covid-19.html
Government of Canada	TRUE	TRUE	The best way to prevent the spread of infections is to wash your hands often with soap and water for at least 20 seconds		2020-07-18	https://www.canada.ca/en/public-health/services/publications/diseases-conditions/know-facts-about-coronavirus-disease-covid-19.html
Government of Canada	TRUE	TRUE	The best way to prevent the spread of infections is to avoid touching your eyes, nose or mouth, especially with unwashed hands		2020-07-18	https://www.canada.ca/en/public-health/services/publications/diseases-conditions/know-facts-about-coronavirus-disease-covid-19.html
Government of Canada	TRUE	TRUE	The best way to prevent the spread of infections is to avoid close contact with people who are sick		2020-07-18	https://www.canada.ca/en/public-health/services/publications/diseases-conditions/know-facts-about-coronavirus-disease-covid-19.html
Government of Canada	TRUE	TRUE	The best way to prevent the spread of infections is to cough and sneeze into your sleeve and not your hands		2020-07-18	https://www.canada.ca/en/public-health/services/publications/diseases-conditions/know-facts-about-coronavirus-disease-covid-19.html
Government of Canada	TRUE	TRUE	The best way to prevent the spread of infections is to practice physical distancing at all times		2020-07-18	https://www.canada.ca/en/public-health/services/publications/diseases-conditions/know-facts-about-coronavirus-disease-covid-19.html
Government of Canada	TRUE	TRUE	The best way to prevent the spread of infections is to stay home if you are sick to avoid spreading illness to others		2020-07-18	https://www.canada.ca/en/public-health/services/publications/diseases-conditions/know-facts-about-coronavirus-disease-covid-19.html
