,claim,posted,source,rating
0,“She’s just casually carrying a body with 1 hand..? Sure.. More evidence of coronavirus being a complete hoax with props & street theater.”,"June 3, 2020",Viral image,false
1,“You see suicide rates are skyrocketing now…”,"May 26, 2020",Tim Murtaugh,false
2,"“According to the CDC, so far this year, Florida has had 1,762 deaths from COVID-19 and 5,185 from pneumonia. Average pneumonia deaths in Florida from 2013-2018 for the same time period are 918.”","May 27, 2020",Facebook posts,false
3,Says Nancy Pelosi tried “once again” to include abortion funding in the latest coronavirus bill.,"May 13, 2020",Bloggers,barely-true
4,"“The new Dane County lockdown policy… (has) effectively killed Badger football, hockey, and basketball for 2020.”","May 19, 2020",Scott Manley,barely-true
5,“Two-thirds of Americans disapprove of Donald Trump not wearing a face mask in public.”,"May 27, 2020",Darren Jackson,true
6,Says President Donald Trump “took more than a month to allocate Congress’ emergency funding to tribes — and only did so after tribes sued.”,"May 21, 2020",Joe Biden,mostly-true
7,"“With retail, people are moving around and you don’t have as much a chance to spread the virus (as you do) when people are sitting or standing indoors” for long periods of time.","May 12, 2020",Roy Cooper,mostly-true
8,"""The Trump Administration is trying to take food assistance away from Wisconsin families when people are out of work and struggling.""","May 15, 2020",Tammy Baldwin,half-true
9,"“For the World Health Organization, the international entity whose sole responsibility it is to alert the world of global pandemics like this, to miss this, is a huge problem.”","May 5, 2020",Brian Fitzpatrick,barely-true
10,Says researchers found a “fabric that kills coronaviruses”,"May 21, 2020",Facebook posts,mostly-true
11,Michigan governor reopened Traverse City “so she could have her daughter's open house.”,"May 20, 2020",Facebook posts,false
12,"Says Ohio Gov. Mike DeWine released 4,300 prisoners and is now warning residents of a possible crime wave.","May 16, 2020",Facebook posts,false
13,"Says President Donald Trump is trying to make $451 billion in Medicare cuts ""in the middle of a deadly pandemic.""","May 19, 2020",Priorities USA Action,barely-true
14,"“We’re down near the low end of per capita deaths ... Most places are at 60 deaths per 100,000. We're at 29.”","May 27, 2020",Joe Kernen,barely-true
15,“This is what Bill Gates and George Soros want to do… secretly stick you with a chip while testing you for the coronavirus... the Dems have a bill on the House floor ready to vote on it to require this.”,"May 10, 2020",Facebook posts,false
16,"Says the state “health secretary says don't go to hospitals or clinics, now the tourism secretary says don't recreate.”","May 26, 2020",Tom Tiffany,barely-true
17,"Italy “went against the WHO's ‘law’” against COVID-19 autopsies and “discovered covid is not a virus, but a bacterium” that “clots the blood and reduces the oxygen saturation.”","May 26, 2020",Facebook posts,false
18,"“Cases, numbers and deaths (of COVID-19) are going down all over the Country!”","May 24, 2020",Donald Trump,half-true
19,The flu didn't kill any Americans this year.,"May 16, 2020",Facebook posts,pants-fire
20,A photo shows three men on crosses who “feel like they’re being crucified by being required to stay at home.”,"May 22, 2020",Viral image,false
21,"Says Michigan Gov. Gretchen Whitmer’s family spent May 20 at her second home, breaking her own stay-at-home orders.","May 20, 2020",Facebook posts,false
22,A photo shows Gov. Gretchen Whitmer “on Mackinaw Island today ignoring mask and social distancing rules.”,"May 24, 2020",Viral image,false
23,"Nancy Pelosi said ""Congress shall not vote remotely because it is not secure!"" while also saying that “Americans should all vote for president by mail!”","May 10, 2020",Facebook posts,barely-true
24,"“[U.S. Rep. Conor Lamb] said he would NOT vote for [Nancy Pelosi] for Speaker, and did.”","May 25, 2020",Donald Trump,pants-fire
25,Texas and Florida have a “balanced budget” while California is “in debt $54 billion and New York is “in debt $6.1 billion.”,"May 18, 2020",Facebook posts,false
26,"Amid the COVID-19 outbreak, “Minnesota now has the highest unemployment rate in U.S. history.”","May 6, 2020",Facebook posts,barely-true
27,“Children don’t seem to be getting this virus”,"April 28, 2020",Janel Brandtjen,barely-true
28,"“While California is dying … Gavin (Newsom) is vacationing in Stevensville, MT!”","May 18, 2020",Facebook posts,false
